# Recognized email domains for universities in the QS 2025 institution catalog.
# Format: domain,institution enum value. Subdomains are recognized automatically.
aus.edu,AMERICAN_UNIVERSITY_OF_SHARJAH
uea.ac.uk,UNIVERSITY_OF_EAST_ANGLIA
u-grenoble3.fr,UNIVERSITE_GRENOBLE_ALPES
univ-grenoble-alpes.fr,UNIVERSITE_GRENOBLE_ALPES
ujf-grenoble.fr,UNIVERSITE_GRENOBLE_ALPES
iitr.ac.in,IIT_ROORKEE
flinders.edu.au,FLINDERS_UNIVERSITY
lut.fi,LUT_UNIVERSITY
scu.edu.cn,SICHUAN_UNIVERSITY
upd.edu.ph,UNIVERSITY_OF_THE_PHILIPPINES_DILIMAN
usask.ca,UNIVERSITY_OF_SASKATCHEWAN
unisa.edu.au,UNIVERSITY_OF_SOUTH_AUSTRALIA
brunel.ac.uk,BRUNEL_UNIVERSITY_LONDON
sharif.ac.ir,SHARIF_UNIVERSITY_OF_TECHNOLOGY
iitg.ernet.in,IIT_GUWAHATI
iitg.ac.in,IIT_GUWAHATI
op.iitg.ac.in,IIT_GUWAHATI
rnd.iitg.ac.in,IIT_GUWAHATI
tufts.edu,TUFTS_UNIVERSITY
oulu.fi,UNIVERSITY_OF_OULU
tilburguniversity.nl,TILBURG_UNIVERSITY
tilburguniversity.edu,TILBURG_UNIVERSITY
unina.it,UNIVERSITY_OF_NAPLES_FEDERICO_II
uvic.ca,UNIVERSITY_OF_VICTORIA
cu.edu.eg,CAIRO_UNIVERSITY
sciencespo.fr,SCIENCES_PO
nust.edu.pk,NUST_ISLAMABAD
up.ac.za,UNIVERSITY_OF_PRETORIA
indiana.edu,INDIANA_UNIVERSITY_BLOOMINGTON
iub.edu,INDIANA_UNIVERSITY_BLOOMINGTON
bloomington.iu.edu,INDIANA_UNIVERSITY_BLOOMINGTON
uc.pt,UNIVERSITY_OF_COIMBRA
uni.lu,UNIVERSITY_OF_LUXEMBOURG
ut.ee,UNIVERSITY_OF_TARTU
gist.ac.kr,GIST
pucp.edu.pe,PONTIFICIA_UNIVERSIDAD_CATOLICA_DEL_PERU
ua.pt,UNIVERSITY_OF_AVEIRO
squ.edu.om,SULTAN_QABOOS_UNIVERSITY
xmu.edu.cn,XIAMEN_UNIVERSITY
yorku.ca,YORK_UNIVERSITY_CANADA
spbu.ru,SAINT_PETERSBURG_STATE_UNIVERSITY
uic.edu,UNIVERSITY_OF_ILLINOIS_CHICAGO
uni-muenster.de,UNIVERSITY_OF_MUNSTER
mahidol.ac.th,MAHIDOL_UNIVERSITY
ju.edu.jo,UNIVERSITY_OF_JORDAN
ut.ac.ir,UNIVERSITY_OF_TEHRAN
gwu.edu,GEORGE_WASHINGTON_UNIVERSITY
lincoln.ac.nz,LINCOLN_UNIVERSITY_NEW_ZEALAND
upc.edu,UNIVERSITAT_POLITECNICA_DE_CATALUNYA
unito.it,UNIVERSITY_OF_TURIN
unifi.it,UNIVERSITY_OF_FLORENCE
utu.fi,UNIVERSITY_OF_TURKU
nku.nankai.edu.cn,NANKAI_UNIVERSITY
javeriana.edu.co,PONTIFICIA_UNIVERSIDAD_JAVERIANA
tsukuba.ac.jp,UNIVERSITY_OF_TSUKUBA
tu-freiberg.de,TU_BERGAKADEMIE_FREIBERG
kent.ac.uk,UNIVERSITY_OF_KENT
unipi.it,UNIVERSITY_OF_PISA
annauniv.edu,ANNA_UNIVERSITY
westernsydney.edu.au,WESTERN_SYDNEY_UNIVERSITY
scut.edu.cn,SOUTH_CHINA_UNIVERSITY_OF_TECHNOLOGY
ubd.edu.bn,UNIVERSITI_BRUNEI_DARUSSALAM
bsu.by,BELARUSIAN_STATE_UNIVERSITY
unl.pt,NOVA_UNIVERSITY_LISBON
ucy.ac.cy,UNIVERSITY_OF_CYPRUS
unisr.it,VITA_SALUTE_SAN_RAFFAELE_UNIVERSITY
vt.edu,VIRGINIA_TECH
ntust.edu.tw,NATIONAL_TAIWAN_UNIVERSITY_OF_SCIENCE_AND_TECHNOLOGY
gapps.ntust.edu.tw,NATIONAL_TAIWAN_UNIVERSITY_OF_SCIENCE_AND_TECHNOLOGY
uoa.gr,NATIONAL_AND_KAPODISTRIAN_UNIVERSITY_OF_ATHENS
ucsc.edu,UC_SANTA_CRUZ
uniroma2.it,UNIVERSITY_OF_ROME_TOR_VERGATA
northeastern.edu,NORTHEASTERN_UNIVERSITY
ruhr-uni-bochum.de,RUHR_UNIVERSITY_BOCHUM
sejong.ac.kr,SEJONG_UNIVERSITY
usq.edu.au,UNIVERSITY_OF_SOUTHERN_QUEENSLAND
student.uliege.be,UNIVERSITY_OF_LIEGE
helpnet.uliege.be,UNIVERSITY_OF_LIEGE
ddi.uliege.be,UNIVERSITY_OF_LIEGE
uliege.be,UNIVERSITY_OF_LIEGE
kpfu.ru,KAZAN_FEDERAL_UNIVERSITY
ku.edu.tr,KOC_UNIVERSITY
aut.ac.ir,AMIRKABIR_UNIVERSITY_OF_TECHNOLOGY
canberra.edu.au,UNIVERSITY_OF_CANBERRA
insa-lyon.fr,INSA_LYON
satbayev.university,SATBAYEV_UNIVERSITY
usi.ch,USI_LUGANO
bbk.ac.uk,BIRKBECK_UNIVERSITY_OF_LONDON
muni.cz,MASARYK_UNIVERSITY
hse.ru,HSE_UNIVERSITY
aucegypt.edu,AMERICAN_UNIVERSITY_IN_CAIRO
aut.ac.nz,AUCKLAND_UNIVERSITY_OF_TECHNOLOGY
tugraz.at,GRAZ_UNIVERSITY_OF_TECHNOLOGY
yu.edu,YESHIVA_UNIVERSITY
concordia.ca,CONCORDIA_UNIVERSITY
brookes.ac.uk,OXFORD_BROOKES_UNIVERSITY
technion.ac.il,TECHNION
bogazici.edu.tr,BOGAZICI_UNIVERSITY
dundee.ac.uk,UNIVERSITY_OF_DUNDEE
cvut.cz,CZECH_TECHNICAL_UNIVERSITY_IN_PRAGUE
fa.cvut.cz,CZECH_TECHNICAL_UNIVERSITY_IN_PRAGUE
fit.cvut.cz,CZECH_TECHNICAL_UNIVERSITY_IN_PRAGUE
dcu.ie,DUBLIN_CITY_UNIVERSITY
ul.ie,UNIVERSITY_OF_LIMERICK
aston.ac.uk,ASTON_UNIVERSITY
ulaval.ca,UNIVERSITE_LAVAL
ntut.edu.tw,NATIONAL_TAIPEI_UNIVERSITY_OF_TECHNOLOGY
ipb.ac.id,IPB_UNIVERSITY
uni-hannover.de,LEIBNIZ_UNIVERSITY_HANNOVER
uni-wuerzburg.de,UNIVERSITY_OF_WURZBURG
seu.edu.cn,SOUTHEAST_UNIVERSITY_CHINA
ustb.edu.cn,UNIVERSITY_OF_SCIENCE_AND_TECHNOLOGY_BEIJING
csu.edu.cn,CENTRAL_SOUTH_UNIVERSITY
tsu.ru,TOMSK_STATE_UNIVERSITY
ugr.es,UNIVERSIDAD_DE_GRANADA
sharjah.ac.ae,UNIVERSITY_OF_SHARJAH
ie.edu,IE_UNIVERSITY
iust.ac.ir,IRAN_UNIVERSITY_OF_SCIENCE_AND_TECHNOLOGY
murdoch.edu.au,MURDOCH_UNIVERSITY
student.murdoch.edu.au,MURDOCH_UNIVERSITY
upv.es,UNIVERSITAT_POLITECNICA_DE_VALENCIA
vu.lt,VILNIUS_UNIVERSITY
sutd.edu.sg,SUTD
unipv.it,UNIVERSITY_OF_PAVIA
colostate.edu,COLORADO_STATE_UNIVERSITY
nsu.ru,NOVOSIBIRSK_STATE_UNIVERSITY
g.nsu.ru,NOVOSIBIRSK_STATE_UNIVERSITY
unicatt.it,UNIVERSITA_CATTOLICA_DEL_SACRO_CUORE
jcu.edu.au,JAMES_COOK_UNIVERSITY
uni-giessen.de,JUSTUS_LIEBIG_UNIVERSITY_GIESSEN
uv.es,UNIVERSITY_OF_VALENCIA
dlut.edu.cn,DALIAN_UNIVERSITY_OF_TECHNOLOGY
hnu.edu.cn,HUNAN_UNIVERSITY
